YEAR,WEEK,YEARWEEK,TYPE,COUNT
2018,25,201825,H3N2v,1
2018,25,201825,A (H3),3
2018,25,201825,A (2009 H1N1),1
2018,25,201825,A (Subtyping not Performed),0
2018,26,201826,BYam,1
2018,26,201826,BVic,0
2018,26,201826,B,0
2018,26,201826,H3N2v,0
2018,26,201826,A (H3),6
2018,26,201826,A (2009 H1N1),2
2018,26,201826,A (Subtyping not Performed),0
2018,27,201827,BYam,6
2018,27,201827,BVic,0
2018,27,201827,B,1
2018,27,201827,H3N2v,0
2018,27,201827,A (H3),5
2018,27,201827,A (2009 H1N1),9
2018,27,201827,A (Subtyping not Performed),0
2018,28,201828,BYam,3
2018,28,201828,BVic,2
2018,28,201828,B,1
2018,28,201828,H3N2v,0
2018,28,201828,A (H3),9
2018,28,201828,A (2009 H1N1),8
2018,28,201828,A (Subtyping not Performed),0
2018,29,201829,BYam,4
2018,29,201829,BVic,2
2018,29,201829,B,3
2018,29,201829,H3N2v,0
2018,29,201829,A (H3),5
2018,29,201829,A (2009 H1N1),15
2018,29,201829,A (Subtyping not Performed),0
2018,30,201830,BYam,0
2018,30,201830,BVic,2
2018,30,201830,B,0
2018,30,201830,H3N2v,0
2018,30,201830,A (H3),3
2018,30,201830,A (2009 H1N1),9
2018,30,201830,A (Subtyping not Performed),4
2018,31,201831,BYam,1
2018,31,201831,BVic,0
2018,31,201831,B,0
2018,31,201831,H3N2v,0
2018,31,201831,A (H3),10
2018,31,201831,A (2009 H1N1),7
2018,31,201831,A (Subtyping not Performed),3
2018,32,201832,BYam,2
2018,32,201832,BVic,0
2018,32,201832,B,1
2018,32,201832,H3N2v,0
2018,32,201832,A (H3),8
2018,32,201832,A (2009 H1N1),6
2018,32,201832,A (Subtyping not Performed),5
2018,33,201833,BYam,2
2018,33,201833,BVic,0
2018,33,201833,B,1
2018,33,201833,H3N2v,0
2018,33,201833,A (H3),9
2018,33,201833,A (2009 H1N1),5
2018,33,201833,A (Subtyping not Performed),6
2018,34,201834,BYam,1
2018,34,201834,BVic,0
2018,34,201834,B,1
2018,34,201834,H3N2v,0
2018,34,201834,A (H3),20
2018,34,201834,A (2009 H1N1),17
2018,34,201834,A (Subtyping not Performed),6
2018,35,201835,BYam,2
2018,35,201835,BVic,0
2018,35,201835,B,0
2018,35,201835,H3N2v,0
2018,35,201835,A (H3),6
2018,35,201835,A (2009 H1N1),10
2018,35,201835,A (Subtyping not Performed),0
2018,36,201836,BYam,1
2018,36,201836,BVic,0
2018,36,201836,B,1
2018,36,201836,H3N2v,0
2018,36,201836,A (H3),17
2018,36,201836,A (2009 H1N1),17
2018,36,201836,A (Subtyping not Performed),0
2018,37,201837,BYam,5
2018,37,201837,BVic,1
2018,37,201837,B,0
2018,37,201837,H3N2v,0
2018,37,201837,A (H3),14
2018,37,201837,A (2009 H1N1),29
2018,37,201837,A (Subtyping not Performed),0
2018,38,201838,BYam,2
2018,38,201838,BVic,1
2018,38,201838,B,2
2018,38,201838,H3N2v,0
2018,38,201838,A (H3),17
2018,38,201838,A (2009 H1N1),22
2018,38,201838,A (Subtyping not Performed),2
2018,39,201839,BYam,3
2018,39,201839,BVic,0
2018,39,201839,B,0
2018,39,201839,H3N2v,0
2018,39,201839,A (H3),13
2018,39,201839,A (2009 H1N1),20
2018,39,201839,A (Subtyping not Performed),0
2018,40,201840,BYam,11
2018,40,201840,BVic,7
2018,40,201840,B,0
2018,40,201840,H3N2v,0
2018,40,201840,A (H3),11
2018,40,201840,A (2009 H1N1),29
2018,40,201840,A (Subtyping not Performed),7
2018,41,201841,BYam,5
2018,41,201841,BVic,3
2018,41,201841,B,5
2018,41,201841,H3N2v,0
2018,41,201841,A (H3),11
2018,41,201841,A (2009 H1N1),52
2018,41,201841,A (Subtyping not Performed),7
2018,42,201842,BYam,14
2018,42,201842,BVic,2
2018,42,201842,B,1
2018,42,201842,H3N2v,0
2018,42,201842,A (H3),21
2018,42,201842,A (2009 H1N1),51
2018,42,201842,A (Subtyping not Performed),13
2018,43,201843,BYam,13
2018,43,201843,BVic,0
2018,43,201843,B,3
2018,43,201843,H3N2v,0
2018,43,201843,A (H3),35
2018,43,201843,A (2009 H1N1),74
2018,43,201843,A (Subtyping not Performed),3
2018,44,201844,BYam,8
2018,44,201844,BVic,1
2018,44,201844,B,1
2018,44,201844,H3N2v,0
2018,44,201844,A (H3),23
2018,44,201844,A (2009 H1N1),84
2018,44,201844,A (Subtyping not Performed),2
2018,45,201845,BYam,7
2018,45,201845,BVic,4
2018,45,201845,B,4
2018,45,201845,H3N2v,0
2018,45,201845,A (H3),27
2018,45,201845,A (2009 H1N1),117
2018,45,201845,A (Subtyping not Performed),14
2018,46,201846,BYam,3
2018,46,201846,BVic,2
2018,46,201846,B,0
2018,46,201846,H3N2v,0
2018,46,201846,A (H3),40
2018,46,201846,A (2009 H1N1),147
2018,46,201846,A (Subtyping not Performed),9
2018,47,201847,BYam,5
2018,47,201847,BVic,2
2018,47,201847,B,1
2018,47,201847,H3N2v,0
2018,47,201847,A (H3),53
2018,47,201847,A (2009 H1N1),211
2018,47,201847,A (Subtyping not Performed),9
2018,48,201848,BYam,10
2018,48,201848,BVic,2
2018,48,201848,B,1
2018,48,201848,H3N2v,0
2018,48,201848,A (H3),63
2018,48,201848,A (2009 H1N1),321
2018,48,201848,A (Subtyping not Performed),9
2018,49,201849,BYam,7
2018,49,201849,BVic,3
2018,49,201849,B,8
2018,49,201849,H3N2v,0
2018,49,201849,A (H3),89
2018,49,201849,A (2009 H1N1),355
2018,49,201849,A (Subtyping not Performed),14
2018,50,201850,BYam,6
2018,50,201850,BVic,7
2018,50,201850,B,3
2018,50,201850,H3N2v,0
2018,50,201850,A (H3),166
2018,50,201850,A (2009 H1N1),667
2018,50,201850,A (Subtyping not Performed),16
2018,51,201851,BYam,7
2018,51,201851,BVic,20
2018,51,201851,B,9
2018,51,201851,H3N2v,0
2018,51,201851,A (H3),227
2018,51,201851,A (2009 H1N1),1100
2018,51,201851,A (Subtyping not Performed),78
2018,52,201852,BYam,9
2018,52,201852,BVic,18
2018,52,201852,B,9
2018,52,201852,H3N2v,0
2018,52,201852,A (H3),263
2018,52,201852,A (2009 H1N1),1216
2018,52,201852,A (Subtyping not Performed),113
2019,1,201901,BYam,0
2019,1,201901,BVic,0
2019,1,201901,B,0
2019,1,201901,H3N2v,0
2019,1,201901,A (H3),0
2019,1,201901,A (2009 H1N1),0
2019,1,201901,A (Subtyping not Performed),0
2019,2,201902,BYam,0
2019,2,201902,BVic,0
2019,2,201902,B,0
2019,2,201902,H3N2v,0
2019,2,201902,A (H3),0
2019,2,201902,A (2009 H1N1),0
2019,2,201902,A (Subtyping not Performed),0
2019,3,201903,BYam,0
2019,3,201903,BVic,0
2019,3,201903,B,0
2019,3,201903,H3N2v,0
2019,3,201903,A (H3),0
2019,3,201903,A (2009 H1N1),0
2019,3,201903,A (Subtyping not Performed),0
2019,4,201904,BYam,0
2019,4,201904,BVic,0
2019,4,201904,B,0
2019,4,201904,H3N2v,0
2019,4,201904,A (H3),0
2019,4,201904,A (2009 H1N1),0
2019,4,201904,A (Subtyping not Performed),0
2019,5,201905,BYam,0
2019,5,201905,BVic,0
2019,5,201905,B,0
2019,5,201905,H3N2v,0
2019,5,201905,A (H3),0
2019,5,201905,A (2009 H1N1),0
2019,5,201905,A (Subtyping not Performed),0
2019,6,201906,BYam,0
2019,6,201906,BVic,0
2019,6,201906,B,0
2019,6,201906,H3N2v,0
2019,6,201906,A (H3),0
2019,6,201906,A (2009 H1N1),0
2019,6,201906,A (Subtyping not Performed),0
2019,7,201907,BYam,0
2019,7,201907,BVic,0
2019,7,201907,B,0
2019,7,201907,H3N2v,0
2019,7,201907,A (H3),0
2019,7,201907,A (2009 H1N1),0
2019,7,201907,A (Subtyping not Performed),0
2019,8,201908,BYam,0
2019,8,201908,BVic,0
2019,8,201908,B,0
2019,8,201908,H3N2v,0
2019,8,201908,A (H3),0
2019,8,201908,A (2009 H1N1),0
2019,8,201908,A (Subtyping not Performed),0
2019,9,201909,BYam,0
2019,9,201909,BVic,0
2019,9,201909,B,0
2019,9,201909,H3N2v,0
2019,9,201909,A (H3),0
2019,9,201909,A (2009 H1N1),0
2019,9,201909,A (Subtyping not Performed),0
2019,10,201910,BYam,0
2019,10,201910,BVic,0
2019,10,201910,B,0
2019,10,201910,H3N2v,0
2019,10,201910,A (H3),0
2019,10,201910,A (2009 H1N1),0
2019,10,201910,A (Subtyping not Performed),0
2019,11,201911,BYam,0
2019,11,201911,BVic,0
2019,11,201911,B,0
2019,11,201911,H3N2v,0
2019,11,201911,A (H3),0
2019,11,201911,A (2009 H1N1),0
2019,11,201911,A (Subtyping not Performed),0
2019,12,201912,BYam,0
2019,12,201912,BVic,0
2019,12,201912,B,0
2019,12,201912,H3N2v,0
2019,12,201912,A (H3),0
2019,12,201912,A (2009 H1N1),0
2019,12,201912,A (Subtyping not Performed),0
2019,13,201913,BYam,0
2019,13,201913,BVic,0
2019,13,201913,B,0
2019,13,201913,H3N2v,0
